Month,Revenue,Profit,Orders
2022-01,97877.33,14617.07,28
2022-02,158830.45,24095.38,28
2022-03,164226.71,25250.78,26
2022-04,131814.98,22039.54,26
2022-05,126454.31,17562.78,25
2022-06,164003.05,24188.13,28
2022-07,115196.67,17706.48,23
2022-08,130341.09,19096.72,26
2022-09,132508.54,19272.83,28
2022-10,105187.39,15935.2,22
2022-11,74799.01,11888.88,25
2022-12,121290.63,16099.69,28
2023-01,73373.56,8994.57,21
2023-02,107972.94,18548.74,26
2023-03,126963.17,19352.36,23
2023-04,83713.17,13211.18,24
2023-05,108278.21,16852.42,25
2023-06,136842.5,22038.07,27
2023-07,93459.57,13201.18,20
2023-08,122216.32,21484.31,22
2023-09,174379.98,27772.05,32
2023-10,131398.62,19487.83,24
2023-11,128527.69,19622.17,26
2023-12,184583.36,27831.93,34
2024-01,102170.91,15746.37,24
2024-02,208351.67,36759.27,30
2024-03,97700.51,14298.9,22
2024-04,134667.62,20316.21,27
2024-05,130687.94,21449.12,28
2024-06,129455.15,14475.51,27
2024-07,84853.76,10031.72,24
2024-08,141785.95,22310.14,28
2024-09,110008.23,14679.13,24
2024-10,90738.27,12214.38,28
2024-11,103108.05,16489.39,28
2024-12,113258.37,15893.28,28
