Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,City,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin
CA-2022-01000,2022-01-24,2022-01-25,Second Class,Consumer,West,Seattle,Technology,Technology,Motorola Smart Phone,3580.02,9,0,580.65,16.22
CA-2022-01001,2022-01-23,2022-01-29,Second Class,Consumer,West,Denver,Technology,Technology,Apple Smart Phone Full Size,12110.67,9,0,1997.3,16.49
CA-2022-01002,2022-01-25,2022-01-28,First Class,Home Office,Central,Minneapolis,Technology,Technology,Apple Smart Phone Full Size,828.66,2,0,107.45,12.97
CA-2022-01003,2022-01-03,2022-01-08,Second Class,Home Office,Central,Kansas City,Furniture,Furniture,O Sullivan Living Dimensions,5044.65,5,0,451.4,8.95
CA-2022-01004,2022-01-03,2022-01-10,First Class,Home Office,Central,Chicago,Furniture,Furniture,Bush Advantage Collection Desk,4201.84,4,0.1,295.85,7.04
CA-2022-01005,2022-01-23,2022-01-29,Second Class,Consumer,West,Seattle,Technology,Technology,Plantronics Savi W720,3772.04,2,0.3,517.2,13.71
CA-2022-01006,2022-01-08,2022-01-14,First Class,Consumer,East,Philadelphia,Office Supplies,Office Supplies,Rogers File Cabinet,1521.84,6,0,464.47,30.52
CA-2022-01007,2022-01-23,2022-01-26,Second Class,Corporate,East,New York,Technology,Technology,Lenovo ThinkPad,8072.0,4,0.3,1287.99,15.96
CA-2022-01008,2022-01-09,2022-01-15,Second Class,Consumer,West,San Francisco,Office Supplies,Office Supplies,Rogers File Cabinet,1313.9,10,0,350.43,26.67
CA-2022-01009,2022-01-05,2022-01-11,Same Day,Corporate,East,New York,Office Supplies,Office Supplies,GBC DocuBind P400,715.98,3,0,167.85,23.44
CA-2022-01010,2022-01-28,2022-01-29,First Class,Home Office,East,Washington DC,Furniture,Furniture,Bevis Round Conference Table,1687.04,2,0,139.95,8.3
